,living_space,rooms,cold_rent,quarter,city,postcode,rent_per_square_meter,publish_date,latitude,longitude
5135,56.4,2.5,528.0,Wilstorf,Hamburg,21079,11.232000000000001,2018-08-31 22:00:00,53.45050146605397,9.988034559498193
5136,98.78399999999999,4.0,938.448,Hummelsbüttel,Hamburg,22339,11.4,2018-11-30 23:00:00,53.63880295868093,10.0235882991564
5137,43.2,2.5,882.48,Eppendorf,Hamburg,20251,24.516,2018-07-30 22:00:00,53.59272335179311,9.98813391768659
5138,48.0,2.5,390.0,Finkenwerder,Hamburg (Finkenwerder),21129,9.756,2018-10-30 22:00:00,53.53417754799629,9.864461826055786
5139,63.6,1.5,942.0,Groß Borstel,Hamburg,22453,17.772000000000002,2018-04-30 22:00:00,53.60951653810572,9.967420984854556
5140,141.96,4.5,2092.8,Winterhude,Hamburg,22301,17.688,2018-05-30 22:00:00,53.58498105614376,10.006245825710636
5141,74.4,3.0,818.4,Hamm-Mitte,Hamburg,20537,13.2,2018-02-28 23:00:00,53.55275291338193,10.046855513638953
5142,117.984,3.5,1320.0,Sasel,Hamburg,22395,13.427999999999999,2018-02-28 23:00:00,53.65507763200597,10.101027015268318
5143,80.616,2.5,884.4,Sinstorf,Hamburg,21077,13.164000000000001,2018-05-30 22:00:00,53.427075741024936,9.97350380838631
5144,103.2,2.5,1080.0,Sasel,Hamburg,22393,12.564,2018-03-28 23:00:00,53.6462682054434,10.102999735680617
5145,267.64799999999997,6.5,3747.072,Winterhude,Hamburg,22299,16.8,2018-01-31 23:00:00,53.59114805278836,10.000015310529015
5146,129.6,4.5,888.0,Marmstorf,Hamburg,21077,8.22,2018-01-31 23:00:00,53.43106879261978,9.951640483935122
5147,140.4,4.5,1740.0,Winterhude,Hamburg,22299,14.868,2018-04-30 22:00:00,53.59767917390321,9.997121195800966
5148,99.6,3.5,1200.0,Stellingen,Hamburg,22527,14.46,2018-11-30 23:00:00,53.582978785205796,9.93549332712458
5149,70.8,2.5,916.8,Lokstedt,Hamburg,22529,15.54,2018-11-30 23:00:00,53.59448189788083,9.952120366491947
5150,80.7,2.5,912.0,Bramfeld,Hamburg,22179,13.56,2018-01-31 23:00:00,53.60291666277126,10.095716279883053
5151,72.0,2.5,822.96,Alsterdorf,Hamburg,22297,13.716,2018-08-31 22:00:00,53.605166743586146,9.999663061656234
