,living_space,rooms,cold_rent,quarter,city,postcode,rent_per_square_meter,publish_date,latitude,longitude,geometry,osm_id,code,fclass,name,dist
3089,81.6,3.5,734.4,Schnelsen,Hamburg,22459,10.8,2019-05-30 22:00:00,53.63078539664336,9.925003102589184,POINT (9.925003102589184 53.63078539664336),4110477692,2032,recycling_paper,,0.00026307602340748016
3090,74.4,2.5,1140.0,Barmbek-Süd,Hamburg,22081,18.384,2019-01-31 23:00:00,53.57180411891075,10.036147675034345,POINT (10.03614767503434 53.57180411891075),425583201,2004,post_box,,0.0012959486614830711
3091,99.6,3.5,1378.8,Harburg,Hamburg,21079,16.608,2019-05-30 22:00:00,53.46537824722906,9.982992388926867,POINT (9.982992388926867 53.46537824722906),3536090647,2701,tourist_info,Flüchtlingshilfe Binnenhafen,0.0007814335068312958
3092,151.2,5.5,2520.0,Hoheluft-Ost,Hamburg,20251,20.004,2019-02-28 23:00:00,53.58113541831138,9.979121160702254,POINT (9.979121160702254 53.58113541831138),4692945379,2303,cafe,Little Amsterdam,0.00044503170616902075
3093,73.8,3.5,1033.2,Hamm-Mitte,Hamburg,20537,16.8,2019-06-30 22:00:00,53.55506723552981,10.045435241352887,POINT (10.04543524135289 53.55506723552981),1081197964,2724,memorial,Dr. Max Besser,0.00016999296176339163
3094,54.0,2.0,544.8,Groß Flottbek,Hamburg,22607,12.108,2019-05-30 22:00:00,53.559052133039245,9.86969463528512,POINT (9.86969463528512 53.55905213303924),616091396,2007,library,"Christianeum, Lehrerbibliothek",0.0039970322076598045
3095,150.0,4.5,1260.0,Ochsenwerder,Hamburg,21037,10.08,2019-01-31 23:00:00,53.46937712905509,10.07052535261248,POINT (10.07052535261248 53.46937712905509),3635136330,2724,memorial,Gedenkstein für den Anschluss an Hamburg,0.0005854621023986183
3096,55.8,2.5,614.4,Neustadt,Hamburg,20459,13.212,2019-06-30 22:00:00,53.54691196779581,9.981003305903128,POINT (9.981003305903128 53.54691196779581),1725269527,2724,memorial,Hans Lange,0.0004281727504793511
3097,87.384,4.0,717.6,Langenhorn,Hamburg,22419,9.852,2019-03-28 23:00:00,53.65720338961243,10.01410673796353,POINT (10.01410673796353 53.65720338961243),269446491,2004,post_box,,0.0017819982923330344
3098,58.26,1.5,1500.0,Hamb.-Altstadt,Hamburg,20457,30.9,2019-02-28 23:00:00,53.54728690026146,10.000672996460077,POINT (10.00067299646008 53.54728690026146),3670882482,2725,artwork,,0.0006493018800140584
3099,56.4,2.0,678.0,Osdorf,Hamburg,22549,14.424,2019-01-31 23:00:00,53.57620482480875,9.845584088236807,POINT (9.845584088236807 53.57620482480875),373451004,2304,pub,Rugen-Eck,0.0016091860164799735
3100,75.48,2.5,1044.0,Farmsen-Berne,Hamburg Farmsen-Berne,22159,16.596,2019-01-31 23:00:00,53.5948447733071,10.118559377328346,POINT (10.11855937732835 53.5948447733071),848714555,2724,memorial,Kriegerdenkmal 1914-1918,0.0013074638624344032
3101,90.0,3.5,942.0,Tonndorf,Hamburg,22045,12.564,2019-01-31 23:00:00,53.590018992347844,10.134576190940033,POINT (10.13457619094003 53.59001899234784),2443414477,2303,cafe,Eiscafé Röhling,0.002580386538814233
3102,145.236,3.5,1860.0,Alsterdorf,Hamburg,22297,15.372,2019-02-28 23:00:00,53.61122340802154,10.013448743779977,POINT (10.01344874377998 53.61122340802154),7573317892,2906,waste_basket,,0.0017422465211663326
3103,57.6,2.5,864.0,Barmbek-Süd,Hamburg,22083,18.0,2019-01-31 23:00:00,53.582999288738925,10.036218045944286,POINT (10.03621804594429 53.58299928873893),425601833,2502,bakery,Bäckerei Hönig,0.0005529634779444389
3104,73.2,3.5,1098.0,Winterhude,Hamburg,22303,18.0,2019-03-28 23:00:00,53.58225669679195,10.014909460667427,POINT (10.01490946066743 53.58225669679195),3951528935,2301,restaurant,Salat Quelle,9.500812351023437e-05
3105,43.2,1.5,436.8,Fuhlsbüttel,Hamburg,22335,12.132,2019-06-30 22:00:00,53.633093489384535,10.01256654178228,POINT (10.01256654178228 53.63309348938454),5908017319,2906,waste_basket,,0.002137051717909601
3106,115.032,3.5,1035.288,Lohbrügge,Hamburg,21033,10.8,2019-04-30 22:00:00,53.5030131647459,10.190986277085813,POINT (10.19098627708581 53.5030131647459),2510118658,2593,vending_any,,2.2577876613588543e-05
3107,108.0,2.5,1680.0,Ottensen,Hamburg,22765,18.672,2019-03-28 23:00:00,53.54769557887359,9.93025244066797,POINT (9.930252440667971 53.54769557887359),3091447903,2205,playground,,0.00029629567949051796
3108,58.776,2.0,499.596,Dulsberg,Hamburg,22049,10.2,2019-03-28 23:00:00,53.57901656746749,10.063995791425024,POINT (10.06399579142502 53.57901656746749),3992869081,2083,kindergarten,"""Probsteier""",0.0005852784067879187
3109,62.4,2.5,1123.2,Eppendorf,Hamburg,20251,21.6,2019-04-30 22:00:00,53.59450776901416,9.980554152033363,POINT (9.980554152033363 53.59450776901416),877701530,2724,memorial,Rudolphine Bär,0.0009807455152292064
3110,62.4,1.5,682.8,Barmbek-Süd,Hamburg,22081,13.128,2019-02-28 23:00:00,53.575496598511755,10.022268946417716,POINT (10.02226894641772 53.57549659851176),4767729513,2561,hairdresser,Salon Kolbeck,0.0006712046060314954
3111,71.016,3.5,711.6,Rissen,Hamburg,22559,12.024,2019-02-28 23:00:00,53.577818122990934,9.769324110210547,POINT (9.769324110210547 53.57781812299093),4200161549,2030,recycling,,0.0011258894753400923
3112,69.6,2.0,1024.8,Altona-Nord,Hamburg,22769,17.664,2019-05-30 22:00:00,53.56189875025938,9.953134812387887,POINT (9.953134812387887 53.56189875025938),6476716154,2602,atm,,0.0003278288618627722
3113,75.6,2.5,1200.0,Ottensen,Hamburg,22763,19.044,2019-04-30 22:00:00,53.5542293816477,9.918982989777227,POINT (9.918982989777227 53.5542293816477),5794172585,2012,community_centre,Gemeindehaus der Tabita Kirchengemeinde Ottensen-Othmarschen,0.00046606843803151794
3114,57.972,1.5,711.6,St. Pauli,Hamburg,22767,14.724,2019-04-30 22:00:00,53.55314678435703,9.959324219297132,POINT (9.959324219297132 53.55314678435703),5741226860,2513,florist,Saintpaulia,0.00021132258787346622
3115,117.252,3.5,1469.16,Bergedorf,Hamburg,21029,15.036,2019-06-30 22:00:00,53.480882760498,10.224918282009464,POINT (10.22491828200946 53.480882760498),3406355549,2906,waste_basket,,0.0013994849158868998
3116,90.0,3.5,990.0,Sinstorf,Hamburg,21079,13.2,2019-04-30 22:00:00,53.41757527290544,9.986792862888581,POINT (9.986792862888581 53.41757527290544),275028974,2004,post_box,,0.004405738788887942
3117,67.2,2.5,1140.0,Rotherbaum,Hamburg,20146,20.352,2019-04-30 22:00:00,53.5646572906026,9.9822045039223,POINT (9.982204503922301 53.5646572906026),676840653,2724,memorial,Willi Lehmann,0.0002749719420931986
3118,73.56,2.5,828.0,Barmbek-Nord,Hamburg,22307,13.512,2019-04-30 22:00:00,53.59819181049864,10.040655925827208,POINT (10.04065592582721 53.59819181049864),277790173,2503,kiosk,Kiosk 70,0.0010448282282293974
3119,81.6,2.5,924.0,Tonndorf,Hamburg,22047,13.584,2019-02-28 23:00:00,53.58937166104646,10.106878550845595,POINT (10.10687855084559 53.58937166104646),848715612,2303,cafe,Kaffeebohne,0.0007257243615061569
3120,80.916,3.0,808.8,Rahlstedt,Hamburg,22147,12.0,2019-03-28 23:00:00,53.60239471176713,10.13770734265466,POINT (10.13770734265466 53.60239471176713),938297606,2205,playground,,0.00038699818669664084
3121,51.6,2.0,588.0,Blankenese,Hamburg,22589,13.68,2019-01-31 23:00:00,53.565381398467494,9.811238983841523,POINT (9.811238983841523 53.56538139846749),736787961,2007,library,Bücherhalle Elbvororte,0.0018820988365433053
3122,64.8,3.0,1092.0,Winterhude,Hamburg,22303,20.22,2019-05-30 22:00:00,53.582602517075564,10.017435326880301,POINT (10.0174353268803 53.58260251707556),886839842,2724,memorial,Ernst Stender,3.4960788509408535e-05
3123,68.4,3.0,466.992,Veddel,Hamburg,20539,8.196,2019-02-28 23:00:00,53.52694335535627,10.021036777347746,POINT (10.02103677734775 53.52694335535627),6638332938,2033,recycling_clothes,,0.0004614407483291605
3124,150.0,4.5,1822.8,St. Pauli,Hamburg,20359,14.58,2019-03-28 23:00:00,53.55043235836165,9.959923273156178,POINT (9.959923273156178 53.55043235836165),3805140485,2304,pub,Utspann,0.00013677010406019656
3125,60.0,2.5,912.0,Barmbek-Nord,Hamburg,22305,18.24,2019-05-30 22:00:00,53.58468935963622,10.048665074773986,POINT (10.04866507477399 53.58468935963622),4815903039,2033,recycling_clothes,,0.0012043840154998984
3126,38.4,1.5,516.0,Stellingen,Hamburg,22525,16.128,2019-06-30 22:00:00,53.57880619955283,9.934351435739798,POINT (9.934351435739798 53.57880619955283),5351330288,2120,doctors,Ärztehaus,0.0007935666827009425
3127,71.77199999999998,2.5,717.6,Rahlstedt,Hamburg,22143,12.0,2019-04-30 22:00:00,53.60392816000525,10.150775791897514,POINT (10.15077579189751 53.60392816000525),7454591111,2033,recycling_clothes,,0.0003266908184899167
3128,98.04,3.5,1500.0,Winterhude,Hamburg,22301,18.36,2019-02-28 23:00:00,53.57885978395574,10.004699027982184,POINT (10.00469902798218 53.57885978395574),808282007,2724,memorial,William Simon,0.000861106813005332
3129,94.8,3.5,1176.0,Billstedt,Hamburg,22117,14.892,2019-05-30 22:00:00,53.533512098726064,10.118028352745588,POINT (10.11802835274559 53.53351209872606),2798438737,2724,memorial,Frieda Brütt,0.0011374193420996318
3130,72.984,2.5,1026.0,Langenhorn,Hamburg,22419,16.872,2019-03-28 23:00:00,53.657695050708284,10.015686253800274,POINT (10.01568625380027 53.65769505070828),7123927228,2902,bench,,0.0003928662829216126
3131,98.484,3.5,935.484,Sasel,Hamburg,22393,11.4,2019-05-30 22:00:00,53.653944979143716,10.115298794535928,POINT (10.11529879453593 53.65394497914372),6456477194,2512,clothes,FrauenSchnickSchnack,0.0004619606924205182
3132,69.6,2.5,630.0,Farmsen-Berne,Hamburg,22159,10.86,2019-01-31 23:00:00,53.594811231122634,10.115466300843844,POINT (10.11546630084384 53.59481123112263),671589938,2004,post_box,,0.0005070479277810825
3133,114.768,3.5,1766.4,Winterhude,Hamburg,22303,18.468,2019-06-30 22:00:00,53.591507631465475,10.034586767243963,POINT (10.03458676724396 53.59150763146548),5412750317,2205,playground,,0.0010460854014224484
3134,121.56,4.5,1337.16,Eißendorf,Hamburg,21075,13.2,2019-01-31 23:00:00,53.456467410104544,9.947354143196566,POINT (9.947354143196566 53.45646741010454),2391215058,2205,playground,,0.0007947016240690227
3135,67.2,3.5,1320.0,Eppendorf,Hamburg,20251,23.568,2019-05-30 22:00:00,53.59440760550324,9.98078387089274,POINT (9.98078387089274 53.59440760550324),877701599,2724,memorial,Siegfried Nadel,0.000845334754647405
3136,56.4,1.5,636.0,Groß Borstel,Hamburg,22453,13.536,2019-03-28 23:00:00,53.61213253326338,9.975093272200867,POINT (9.975093272200867 53.61213253326338),5906596430,2901,toilet,,0.0011597486310883623
3137,66.0,2.5,1128.0,Eimsbüttel,Hamburg,20257,20.508000000000006,2019-04-30 22:00:00,53.575612695612456,9.942085277376878,POINT (9.942085277376878 53.57561269561246),1432465792,2906,waste_basket,,0.000749001335696292
3138,96.0,2.5,1548.0,Othmarschen,Hamburg,22605,19.356,2019-06-30 22:00:00,53.55845354844354,9.881492118373655,POINT (9.881492118373655 53.55845354844354),1613188091,2514,chemist,Budnikowsky,0.0009546791340345051
3139,64.8,3.0,449.064,Harburg,Hamburg,21073,8.316,2019-04-30 22:00:00,53.45351563100989,9.977731170011078,POINT (9.977731170011078 53.45351563100989),898048189,2724,memorial,Karl Karcz,0.001265290164506864
3140,66.0,2.5,960.0,Wandsbek,Hamburg,22041,17.46,2019-05-30 22:00:00,53.57956444437386,10.077726541229014,POINT (10.07772654122901 53.57956444437386),960157548,2304,pub,Sunset Billard,0.000770449848351342
3141,51.96,1.5,1428.9,HafenCity,Hamburg HafenCity,20457,33.0,2019-06-30 22:00:00,53.543533679843634,9.995090600731237,POINT (9.995090600731237 53.54353367984363),748827195,2602,atm,Hamburger Bank,0.0001546889163953799
3142,79.2,4.5,586.524,Finkenwerder,Hamburg,21129,8.892000000000003,2019-06-30 22:00:00,53.52857385994232,9.881143903103023,POINT (9.881143903103023 53.52857385994232),1667665068,2205,playground,,0.00032838085476736715
3143,80.4,1.5,1500.0,Eimsbüttel,Hamburg,20259,22.392,2019-01-31 23:00:00,53.574035792007464,9.963544411051318,POINT (9.963544411051318 53.57403579200746),300393858,2301,restaurant,Hardy's,0.0004817066422307358
