"living_space","rooms","cold_rent","construction_year","quarter","lambert_poistion_x","lambert_poistion_y","city","postcode","heating_type","number_of_bedrooms","rent_per_square_meter","publish_date","latitude","longitude"
"61.068","2.5","720","1911","Bergedorf","14288","2612821","Hamburg","21029","8","","14.148","2018-10-30 22:00:00","53.48534953297032","10.218235593730647"
"118.8","3.5","1248","2012","Niendorf","-3489","2629757","Hamburg","22455","7","","12.612","2018-02-28 23:00:00","53.639804804949925","9.9465227769733"
"112.92","3.5","1622.136","2015","Altona-Altstadt","-4062","2620163","Hamburg","22767","7","","17.244","2018-07-30 22:00:00","53.55240919826896","9.937863000497618"
"123.6","3.5","2220","","Harvestehude","-199","2622985","Hamburg","20149","1","","21.552","2018-03-28 23:00:00","53.578131101268404","9.996954100391504"
"43.56","2.5","348.48","1956","Wilhelmsburg","-679","2616096","Hamburg","21107","5","","9.6","2018-10-30 22:00:00","53.515375267059845","9.989621914568474"
"69.6","2.5","1104","1964","Hohenfelde","1626","2621202","Hamburg","22087","7","1","19.032","2018-07-30 22:00:00","53.561886842655476","10.024878475662495"
"80.4","3.5","804","1954","Barmbek-Nord","2633","2625276","Hamburg","22307","7","1","12","2018-10-30 22:00:00","53.59899350760001","10.040319770874955"
"96.84","3.5","720","2001","Eidelstedt","-6647","2626679","Hamburg","22523","5","","8.916","2018-03-28 23:00:00","53.61173834168147","9.898183521971388"
"81.168","3.5","771.096","1997","Neugraben-Fischbek","-10022","2611242","Hamburg","21149","5","","11.4","2018-10-30 22:00:00","53.471061471885","9.846972874257968"
"54","2.5","720","","Barmbek-Süd","1409","2622722","Hamburg","22083","1","","15.996","2018-01-31 23:00:00","53.57573356125445","10.021565026375"
"76.8","4","1200","1957","Barmbek-Süd","2059","2623303","Hamburg","22083","7","","18.756","2018-02-28 23:00:00","53.58102387942591","10.031517171950327"
"101.82","4.5","1069.2","2002","Rahlstedt","8917","2625557","Hamburg","22147","7","2","12.6","2018-11-30 23:00:00","53.601485080430535","10.13655595237082"
"114","3.5","1188","1999","Rissen","-15379","2623368","Hamburg","22559","5","2","12.504","2018-04-30 22:00:00","53.58139832746815","9.764590830133223"
"22.8","1.5","448.8","","Harburg","-746","2609545","Hamburg","21079","7","","23.616","2018-07-30 22:00:00","53.45569450625404","9.988613185700048"
"63.888","2.5","523.872","1968","Eidelstedt","-6874","2627381","Hamburg","22523","5","","9.84","2018-04-30 22:00:00","53.618129820327646","9.894691198467768"
"75.6","3","804","1976","Niendorf","-2691","2626264","Hamburg","22453","1","","12.756","2018-12-30 23:00:00","53.60799281326923","9.958783680076214"
"89.388","4","1224","","Eimsbüttel","-3785","2623370","Hamburg","20255","5","","16.428","2018-09-30 22:00:00","53.58162474042362","9.942062106266949"
"124.8","3.5","1798.8","2015","Wandsbek","4935","2622446","Hamburg","22041","7","2","17.292","2018-04-30 22:00:00","53.573198460997126","10.075526848665232"
"67.224","2.5","739.44","1965","Wilhelmsburg","1268","2614767","Hamburg","21109","5","1","13.2","2018-12-30 23:00:00","53.50326712144051","10.019375287828895"
"52.8","2.5","384.312","1963","Heimfeld","-3012","2610012","Hamburg","21075","5","","8.736","2018-05-30 22:00:00","53.4599411288824","9.954020956146767"
"61.68","2.5","828","","Heimfeld","-2426","2610516","Hamburg","21075","1","1","16.104","2018-07-30 22:00:00","53.464535751363506","9.962962582694038"
"50.4","3.5","706.8","1904","Sternschanze","-2305","2621065","Hamburg","20357","7","","16.824","2018-12-30 23:00:00","53.56063636061927","9.964733537072123"
"74.4","2.5","1080","","Blankenese","-12126","2621052","Hamburg","22587","1","","17.424","2018-01-31 23:00:00","53.560385197386054","9.814473261610706"
"76.8","3.5","1401.6","1904","Eimsbüttel","-3598","2623416","Hamburg","20255","5","","21.9","2018-07-30 22:00:00","53.58204505431685","9.944924037373234"
"147.996","4","2520","2022","Hoheluft-Ost","-1819","2623942","Hamburg","20251","7","","20.436","2018-04-30 22:00:00","53.58684547558718","9.972152853725156"
"32.4","1.5","831.6","2022","Bahrenfeld","-6504","2620950","Hamburg","22763","7","1","30.804","2018-09-30 22:00:00","53.55955413977832","9.900491309675639"
"67.8","2.5","984","","Winterhude","-7","2624816","Hamburg","22299","1","","17.412","2018-09-30 22:00:00","53.594809877682685","9.99989281743048"
"56.4","2.5","739.2","2018","Stellingen","-4562","2625161","Hamburg","22527","7","1","15.732","2018-12-30 23:00:00","53.597932967943784","9.93014264898555"
"57.96","2.5","691.2","1935","Eppendorf","-1287","2624756","Hamburg","20251","5","","14.316","2018-11-30 23:00:00","53.594261785224596","9.980293962787917"
"77.496","2.5","1410","","St. Georg","475","2620721","Hamburg","20099","1","","21.828","2018-10-30 22:00:00","53.55750749798444","10.007266978825472"
"100.524","4","864.504","2022","Poppenbüttel","5426","2632919","Hamburg","22399","1","","10.32","2018-07-30 22:00:00","53.66858918673776","10.083220543025945"
"61.452","2.5","706.704","2022","Lohbrügge","12537","2615835","Hamburg","21031","5","1","13.8","2018-07-30 22:00:00","53.51285096294248","10.191609417766399"
"52.656","1.5","526.56","2001","Allermöhe","10659","2613190","Hamburg","21035","7","","12","2018-04-30 22:00:00","53.488795825733796","10.162818615278299"
"120","3.5","1618.8","1909","Eppendorf","-1120","2623976","Hamburg","20249","7","2","16.188","2018-01-31 23:00:00","53.58715710956588","9.982853753203667"
"111.6","3.5","1790.4","2020","St. Georg","539","2620879","Hamburg","20099","1","","19.248","2018-05-30 22:00:00","53.55894672104543","10.008246376505756"
"72","2.5","714","1967","Sülldorf","-12912","2623118","Hamburg","22589","5","1","11.904","2018-08-31 22:00:00","53.579186445396886","9.802363621407505"
"84","3.5","816","","Dulsberg","3848","2622877","Hamburg","22049","5","","11.652","2018-03-28 23:00:00","53.57713347332364","10.058896275658196"
"171.6","5","1908","2022","Rahlstedt","10478","2629357","HAMBURG - MEIENDORF","22145","3|5","","13.344","2018-01-31 23:00:00","53.63606982011487","10.160586815924395"
"65.088","2.5","641.052","1971","Lohbrügge","12803","2615687","Hamburg","21031","7","","11.82","2018-03-28 23:00:00","53.511496398417464","10.195668865425127"
"48","2","912","","Farmsen-Berne","9354","2629313","Hamburg","22761","1","","22.8","2018-08-31 22:00:00","53.63568995639696","10.143359031825637"
"63.6","1.5","888","","Groß Borstel","-2127","2626431","Hamburg","22453","1","","16.752","2018-08-31 22:00:00","53.60951653810573","9.967420984854558"
"144","4","1869.6","2015","Poppenbüttel","5902","2630677","Hamburg","22391","8|10","2","15.576","2018-02-28 23:00:00","53.648163323634215","10.090479305894885"
"96","3.5","1260","","Wandsbek","4187","2623078","Hamburg","22049","1","","15.756","2018-07-30 22:00:00","53.578961865434295","10.064087550291637"
"47.292","1.5","589.2","1999","Borgfelde","2193","2620507","Hamburg","20535","7","","14.952","2018-12-30 23:00:00","53.55555379176472","10.033549015398698"
"80.4","3.5","999.6","1957","Lohbrügge","13126","2614535","Hamburg","21031","5","3","14.916","2018-09-30 22:00:00","53.50099394460841","10.20055780849447"
"98.496","3.5","1314","2021","Bramfeld","7633","2628283","Hamburg","22175","7","2","16.008","2018-05-30 22:00:00","53.62633553170989","10.11695828831969"
"77.76","2.5","1189.2","2019","Hammerbrook","1314","2619416","Hamburg","20097","7","","18.348","2018-05-30 22:00:00","53.545618243772005","10.020097365007409"
"54","2.5","514.8","1944","Horn","5749","2619708","Hamburg","22111","7","1","11.436","2018-05-30 22:00:00","53.54824889039806","10.087935035124984"
"88.776","3.5","958.8","2018","Wilstorf","-1013","2608430","Hamburg","21077","10","","12.96","2018-10-30 22:00:00","53.445535829464504","9.984541280277206"
"66","1.5","600","","Marmstorf","-2129","2608172","Hamburg","21077","1","","10.908","2018-10-30 22:00:00","53.44318202072546","9.967512466735162"
"39.6","1.5","498","","Barmbek-Süd","1260","2623080","Hamburg","22083","6","","15.096","2018-01-31 23:00:00","53.57899502226126","10.019285971997446"
"103.2","3.5","1680","1904","Sternschanze","-2518","2621145","Hamburg","22769","1","","19.536","2018-03-28 23:00:00","53.56136414728614","9.961474007270795"
"80.52","2.5","1128","2016","Barmbek-Nord","2554","2625941","Hamburg","22309","7","1","16.812","2018-12-30 23:00:00","53.60505132220739","10.039115378412692"
"83.7","3.5","1056","2003","Wandsbek","4749","2622990","Hamburg","22041","5","2","15.144","2018-05-30 22:00:00","53.57815555309143","10.072688379524317"
"139.2","4.5","1944","2018","Volksdorf","10036","2630144","Hamburg","22359","","3","16.764","2018-05-30 22:00:00","53.64324670745817","10.153837640768282"
"76.8","2.5","912","2016","Bergedorf","14557","2612676","Hamburg","21029","5","","14.256","2018-12-30 23:00:00","53.48402130828942","10.22233767011309"
"83.16","2.5","1500","2003","Uhlenhorst","921","2622004","Hamburg","22085","5","1","21.648","2018-07-30 22:00:00","53.56919419337739","10.014094007510776"
"76.128","2.5","664.596","1963","Horn","5392","2620401","Hamburg","22111","1","","10.476","2018-04-30 22:00:00","53.5545654695722","10.082486222824869"
"67.848","2.5","840","","Heimfeld","-3902","2623375","Hamburg","20257","1","1","14.856","2018-11-30 23:00:00","53.58166944336646","9.940271098802652"
"45.6","1.5","576","1971","Lohbrügge","14160","2615412","Hamburg","21031","7","1","15.156","2018-11-30 23:00:00","53.50895695259579","10.216395626863251"
"67.752","3","663.984","1960","Eilbek","3199","2621586","Hamburg","22089","7","","11.76","2018-10-30 22:00:00","53.565377717207426","10.048949889454088"
"96.912","4","833.448","2022","Poppenbüttel","5622","2632975","Hamburg","22399","17","3","10.32","2018-12-30 23:00:00","53.669097212100475","10.086227659328443"
"132","3.5","1788","2017","Eimsbüttel","-3947","2623200","Hamburg","20257","5","2","16.26","2018-08-31 22:00:00","53.58007501202525","9.93958444787837"
"107.304","3.5","1392","2013","Rissen","-15654","2623366","Hamburg","22559","1","2","15.564","2018-11-30 23:00:00","53.58137211267296","9.760381482208441"
"72","2.5","636","1909","Billstedt","8081","2617805","Hamburg","22117","5","1","10.596","2018-03-28 23:00:00","53.530883163663965","10.123556237015178"
"80.7","3.5","1020","","Tonndorf","6919","2623128","Hamburg","22045","1","","15.168","2018-04-30 22:00:00","53.57938889408643","10.105905453011976"
"73.176","3","638.832","1963","Wandsbek","5136","2624526","Hamburg","22049","1","","10.476","2018-08-31 22:00:00","53.592143541433536","10.078636660093137"
"144","3.5","2700","2006","Winterhude","218","2624866","Hamburg","22299","5","","22.5","2018-01-31 23:00:00","53.59526528293372","10.003338005795683"
"75.6","3.5","997.2","","Barmbek-Nord","3043","2624033","Hamburg","22305","7","","15.828","2018-10-30 22:00:00","53.5876688246844","10.046586281291901"
"108.612","3.5","1146.948","2012","Langenhorn","2155","2633677","Hamburg","22417","7","","12.672","2018-11-30 23:00:00","53.67551644473005","10.033057198670104"
"88.8","3.5","888","","Iserbrook","-10682","2622358","Hamburg","22589","","","12","2018-12-30 23:00:00","53.57231276655125","9.836522356022881"
"75.6","2.5","967.2","2018","Tonndorf","8132","2623366","Hamburg","22045","5","1","15.348","2018-08-31 22:00:00","53.5815397630302","10.124478261495671"
"216","4.5","2268","1912","Marienthal","5155","2621901","Hamburg","22043","","","12.6","2018-04-30 22:00:00","53.5682318388711","10.078884954659555"
"60.624","2.5","624","2004","Langenbek","-776","2607448","Hamburg","21077","7","2","12.348","2018-01-31 23:00:00","53.436589590347985","9.98816036431816"
"76.8","2.5","1032","","Langenhorn","789","2631061","Hamburg","22415","1","","16.128","2018-03-28 23:00:00","53.6516930500775","10.012096552969279"
"55.2","2.5","720","","Dulsberg","4059","2623852","Hamburg","22049","1","","15.648","2018-10-30 22:00:00","53.58601331901551","10.062138236740807"
"85.2","2.5","840","2019","Rahlstedt","9917","2626427","Hamburg / Rahlstedt","22143","5","1","11.832","2018-07-30 22:00:00","53.60939213610908","10.151897225642035"
"51.6","1.5","321.9","1980","Wilhelmsburg","1200","2612833","Hamburg","21109","5","","7.488","2018-03-28 23:00:00","53.48564840605355","10.018328954601028"
"109.2","2.5","1111.2","1997","Bramfeld","6174","2626985","Hamburg","22179","1","","12.216","2018-05-30 22:00:00","53.61453131789088","10.094577191611608"
"110.4","3.5","1176","1930","Fuhlsbüttel","1980","2629337","Hamburg","22339","5","","12.78","2018-10-30 22:00:00","53.63598696602935","10.03034558710762"
"76.8","3","660","1955","Horn","6112","2619305","Hamburg","22111","6","1","10.308","2018-02-28 23:00:00","53.54457372607236","10.093479627487277"
"57.6","2.5","758.4","","Stellingen","-4336","2625131","Hamburg","22527","5","1","15.804","2018-09-30 22:00:00","53.59766158406679","9.933603767554377"
"60","2.5","696","1940","Hoheluft-Ost","-1318","2623865","Hamburg","20249","7","","13.92","2018-08-31 22:00:00","53.586145548716374","9.97982300268069"
"106.8","3.5","998.4","1976","Poppenbüttel","5863","2630545","Hamburg","22391","6","2","11.22","2018-01-31 23:00:00","53.64696144331575","10.089878981107976"
"96.336","3.5","1390.8","2020","Lurup","-8155","2624356","Hamburg","22547","1","","17.328","2018-10-30 22:00:00","53.5905574005648","9.875144243232489"
"159.6","5","1353.6","1622","Harburg","-1224","2610384","Hamburg-Harburg","21073","5","","10.176","2018-07-30 22:00:00","53.463337280825066","9.98131386078526"
"86.4","3","1054.8","","Hoheluft-West","-1880","2623415","Hamburg","20253","7","","14.652","2018-08-31 22:00:00","53.58204476379843","9.971222122794721"
"78","3","1134","2013","Barmbek-Nord","3267","2624313","Hamburg","22305","5","1","17.448","2018-10-30 22:00:00","53.59021803656101","10.050018451203394"
"108","2.5","1622.4","","Winterhude","2070","2623842","Hamburg","22303","1","","18.024","2018-10-30 22:00:00","53.5859336520515","10.031689063199916"
"64.98","2.5","779.76","1934","Eppendorf","-1353","2625056","Hamburg","20251","6","2","14.4","2018-04-30 22:00:00","53.59699431838542","9.979282117757414"
"80.4","2.5","960","1965","Borgfelde","2425","2620381","Hamburg","20537","7","","14.328","2018-03-28 23:00:00","53.5544050008557","10.037097242800149"
"38.52","2","346.68","1954","Ohlsdorf","2139","2627173","Hamburg","22337","1","","10.8","2018-05-30 22:00:00","53.61627521994347","10.032767823034133"
"222.516","5.5","3564","2002","Uhlenhorst","699","2622588","Hamburg","22085","5","2","19.224","2018-02-28 23:00:00","53.5745143293841","10.010698039928315"
"72","2.5","672","","Moorburg","-4941","2613836","Hamburg","21079","5","","11.196","2018-07-30 22:00:00","53.49476436271087","9.924515011144106"
"62.4","2.5","458.796","2004","Heimfeld","-2522","2610985","Hamburg","21075","5","","8.82","2018-07-30 22:00:00","53.46880806571252","9.961493258130242"
"93.6","3.5","1123.2","1904","Bahrenfeld","-5524","2621535","Hamburg","22761","","","14.4","2018-01-31 23:00:00","53.564894145141466","9.915474749618292"
"86.4","2.5","1080","","Poppenbüttel","5872","2631166","Hamburg","22391","5","","15","2018-09-30 22:00:00","53.65261765515344","10.090028468781506"
"52.8","2.5","387.876","1957","Sülldorf","-12605","2623382","Hamburg","22589","1","","8.82","2018-11-30 23:00:00","53.581598593754514","9.807052189171541"
"70.728","2.5","708","1964","Rahlstedt","9162","2624490","Hamburg","22149","6","","12.012","2018-11-30 23:00:00","53.59176166618417","10.140277094447063"
"90","3.5","1074","1984","Osdorf","-9676","2621240","Hamburg","22609","5","2","14.316","2018-07-30 22:00:00","53.56214778180574","9.851952212237434"
"83.22","3.5","806.4","1986","Horn","6195","2619119","Hamburg","22111","1","2","11.628","2018-07-30 22:00:00","53.542878395397786","10.09474544225414"
"94.068","3.5","1188","1983","Groß Borstel","-1059","2625966","Hanburg","22453","5","3","15.156","2018-02-28 23:00:00","53.60528410815067","9.983780970216936"
"64.8","2.5","846","1976","Niendorf","-3000","2629209","Hamburg","22455","1","1","15.672","2018-11-30 23:00:00","53.63481630586996","9.954023053255884"
"49.2","3","417.384","1957","Bergedorf","15345","2612973","Hamburg","21029","5","","10.176","2018-09-30 22:00:00","53.486704980858214","10.234387472745599"
"50.124","2.5","543.6","1954","Horn","5734","2619728","Hamburg","22111","5","","13.02","2018-12-30 23:00:00","53.54843124149901","10.087705960300422"
"97.2","4","1440","1894","Hohenfelde","1418","2621170","Hamburg","22087","5","","17.772","2018-05-30 22:00:00","53.56159593637639","10.021695846654522"
"138.852","2.5","1874.508","2020","Winterhude","35","2624515","Hamburg","22299","11","","16.2","2018-11-30 23:00:00","53.592068063882465","10.000535879653027"
"117.6","3","1416","2002","Sasel","7406","2630732","Hamburg","22393","5","","14.448","2018-01-31 23:00:00","53.64864550426723","10.113537299801381"
"99.6","3.5","1434","","Langenhorn","365","2633303","Hamburg","22419","1","1","17.28","2018-07-30 22:00:00","53.672114238225376","10.005598583752095"
"46.8","2","491.4","1978","Farmsen-Berne","7929","2627939","Hamburg","22159","1","1","12.6","2018-09-30 22:00:00","53.62319783235441","10.121485197776325"
"50.976","2.5","762","","Eimsbüttel","-3387","2623383","Hamburg","20255","5","","17.94","2018-08-31 22:00:00","53.58174583390253","9.94815424601953"
"60","2.5","960","","Ottensen","-4732","2620071","Hamburg","22765","1","","19.2","2018-05-30 22:00:00","53.55156561102075","9.927615289085363"
"63.924","3.5","598.8","1910","Harburg","-1812","2609785","Hamburg","21073","8","","11.244","2018-11-30 23:00:00","53.45787846905059","9.97234058625775"
"122.4","3.5","1404","","Marienthal","5713","2621451","Hamburg","22043","1","","13.764","2018-08-31 22:00:00","53.56412697311311","10.087415713092982"
"67.068","2.5","446.652","1990","Neugraben-Fischbek","-9498","2611332","Hamburg","21149","1","","7.992","2018-05-30 22:00:00","53.47189095992127","9.854971193920797"
"47.652","1.5","504","","Uhlenhorst","1429","2621804","Hamburg","22087","1","","12.696","2018-04-30 22:00:00","53.56737121842404","10.021867001036107"
"78.324","3.5","744","1930","Harburg","-1911","2609631","Hamburg","21073","5","","11.4","2018-03-28 23:00:00","53.45647511399162","9.970830314877714"
"111.6","3.5","1320","2022","Eißendorf","-4653","2609147","Hamburg","21075","2","","14.196","2018-09-30 22:00:00","53.45204881907415","9.928983236471947"
"110.4","2.5","2520","1925","Eppendorf","-299","2624171","Hamburg","20249","5","1","27.396","2018-10-30 22:00:00","53.58893447009055","9.995422380728506"
"36","1.5","528","1959","Niendorf","-2691","2626263","Hamburg","22453","5","","17.604","2018-09-30 22:00:00","53.60798370441608","9.958783688560821"
"62.4","2","660","1984","Rahlstedt","10535","2624498","Hamburg","22145","5","","12.696","2018-01-31 23:00:00","53.59180919186997","10.161298958602734"
"34.8","1.5","408","","Heimfeld","-2627","2610782","Hamburg","21075","1","","14.064","2018-01-31 23:00:00","53.466958160065424","9.95989175403357"
"105.6","4.5","1440","1969","Iserbrook","-11533","2621936","Hamburg","22589","5","","16.368","2018-07-30 22:00:00","53.568450958298456","9.823513993060317"
"85.776","3.5","766.8","1930","Harburg","-1827","2609645","Hamburg","21073","5","","10.728","2018-12-30 23:00:00","53.45660295393609","9.972112418619135"
"60","3.5","828","1904","Ottensen","-4339","2620540","Hamburg","22765","5","","16.56","2018-09-30 22:00:00","53.55584127487364","9.933620548663665"
"36.12","1.5","826.8","1960","Barmbek-Süd","2459","2622859","Hamburg","22083","7","1","27.468","2018-11-30 23:00:00","53.576977715890195","10.037636544562837"
"109.2","3.5","1419.6","","Marienthal","4633","2621207","Hamburg-Marienthal","22043","1","","15.6","2018-05-30 22:00:00","53.561914761268554","10.070886879261046"
"92.4","2.5","1166.4","2018","Barmbek-Süd","1215","2623131","Hamburg","22085","1","","15.144","2018-01-31 23:00:00","53.57945969405559","10.018597382431727"
"55.2","2.5","816","","Hoheluft-West","-2022","2623620","Hamburg","20253","1","","17.736","2018-10-30 22:00:00","53.58391161513036","9.969047169408716"
"63.6","2.5","600","1934","Fuhlsbüttel","","","Hamburg","22335","6","1","11.316","2018-01-31 23:00:00","",""
"87.6","3.5","532.608","2022","Heimfeld","-2521","2610261","Hamburg","21075","1","","7.296","2018-12-30 23:00:00","53.4622121617923","9.961514244373939"
"82.8","2.5","726","1960","Harburg","-1612","2609845","Hamburg","21073","5","1","10.524","2018-01-31 23:00:00","53.45842573594034","9.975393198546076"
"163.92","5.5","1934.256","2022","Farmsen-Berne","9597","2629048","Hamburg","22145","5","4","14.16","2018-10-30 22:00:00","53.63327187110472","10.14707520235166"
"86.508","3","840","1992","Rahlstedt","11284","2624865","Hamburg","22149","5","2","11.652","2018-09-30 22:00:00","53.59513687365403","10.172779733788843"
"71.82","3","750","1943","Winterhude","562","2625672","Hamburg","22297","6","1","12.528","2018-08-31 22:00:00","53.60260684731211","10.008606745277952"
"102","2.5","954","1914","Groß Borstel","-1079","2627096","Hamburg","22453","1","1","11.22","2018-10-30 22:00:00","53.615577043448276","9.983470817096482"
"72","3.5","900","1909","Altona-Nord","-3262","2621903","Hamburg","22769","5","","15","2018-01-31 23:00:00","53.568264983139414","9.950082854363131"
"80.4","2.5","1366.8","1904","Hoheluft-West","-2406","2623446","Hamburg","20253","1","","20.4","2018-03-28 23:00:00","53.582325034431605","9.963170206408888"
"72","3","762","1983","Eimsbüttel","-2346","2622917","Hamburg","20253","5","","12.696","2018-04-30 22:00:00","53.57750655740434","9.964092562949213"
"56.76","2","636","1999","Lohbrügge","13031","2613580","Hamburg","21033","10","1","13.452","2018-03-28 23:00:00","53.49229620651691","10.199067228927643"
"76.8","2.5","456.468","1966","Rahlstedt","9946","2623771","Hamburg","22149","7","","7.128","2018-09-30 22:00:00","53.585198221150165","10.152258163029387"
"94.08","3.5","1034.88","2016","Wandsbek","5427","2623548","Hamburg","22047","4","","13.2","2018-01-31 23:00:00","53.583231991247665","10.083075402149737"
"49.848","1.5","572.4","","Altona-Altstadt","-3713","2619998","Hamburg","22767","1","","13.776","2018-01-31 23:00:00","53.550908678524564","9.943203628366382"
"73.8","2.5","1428","2019","Neustadt","-1441","2619340","Hamburg","20459","7","","23.22","2018-01-31 23:00:00","53.544925591922386","9.977960540035657"
"34.8","1.5","357.6","1959","Eilbek","2548","2621721","Hamburg","22089","7","1","12.336","2018-08-31 22:00:00","53.566610978103576","10.038989617949644"
"47.52","1.5","480","1934","Barmbek-Nord","2662","2625960","Hamburg","22307","5","","12.12","2018-10-30 22:00:00","53.60522386288877","10.040769594260263"
"80.4","3","834","1968","Nienstedten","-10278","2620594","Hamburg","22609","7","","12.444","2018-05-30 22:00:00","53.556251883631184","9.842762216792154"
"67.2","2.5","564","","Bergedorf","13041","2612411","Hamburg","21029","1","","10.068","2018-09-30 22:00:00","53.481646238443275","10.199172187768482"
"83.64","2.5","874.8","1992","Hausbruch","-7905","2612308","Hamburg","21147","5","1","12.552","2018-05-30 22:00:00","53.48080847700786","9.879271126791753"
"138","3.5","1914","2019","Sternschanze","-2367","2621266","HAMBURG","20357","5","2","16.644","2018-03-28 23:00:00","53.56246706961755","9.9637834412877"
"61.752","2.5","693.888","1960","Barmbek-Nord","3791","2624034","Hamburg","22305","7","","13.488","2018-10-30 22:00:00","53.58767314322109","10.058037665453849"
"60","2","660","1978","Eißendorf","-4225","2608037","HAMBURG","21077","10","","13.2","2018-01-31 23:00:00","53.4419396462859","9.93553029490146"
"39.156","1.5","442.8","1969","Niendorf","-3420","2629716","Hamburg","22455","7","","13.572","2018-11-30 23:00:00","53.639431803410595","9.947580808465617"
"98.4","3.5","573.564","","Billstedt","6603","2619168","Hamburg","22111","1","","6.996","2018-05-30 22:00:00","53.54331987439396","10.100986345505426"
"49.2","2.5","516","","Rahlstedt","9881","2628670","Hamburg","22145","1","","12.588","2018-07-30 22:00:00","53.62982363912975","10.15141573644631"
"53.76","2.5","840","1957","Barmbek-Nord","3200","2623687","Hamburg","22305","5","","18.756","2018-02-28 23:00:00","53.58451616109473","10.048986357411891"
"132","4.5","1798.8","2019","Langenhorn","365","2633303","Hamburg","22419","7","3","16.356","2018-03-28 23:00:00","53.672114238225376","10.005598583752095"
"72","2.5","1020","1912","Barmbek-Süd","1754","2622985","Hamburg","22083","5","","17.004","2018-11-30 23:00:00","53.578128255815116","10.026846772283555"
"96","3.5","1008","2003","Tonndorf","8790","2624298","Hamburg","22045","","2","12.6","2018-01-31 23:00:00","53.590018992347844","10.134576190940031"
"86.4","3.5","1123.2","1991","Niendorf","-3343","2627446","Hamburg","22459","5","","15.6","2018-03-28 23:00:00","53.61875571910291","9.948784955664342"
"75.6","2.5","1179.36","2022","Barmbek-Nord","2871","2624360","Hamburg","22297","7","1","18.72","2018-07-30 22:00:00","53.59064843958868","10.043956035254459"
"78.48","3.5","984","1955","Ottensen","-5761","2620326","Hamburg-Ottensen","22763","5","3","15.048","2018-07-30 22:00:00","53.55387840841994","9.91187021988912"
"51.6","2.5","482.4","","Kleiner Grasbrook","624","2616676","Hamburg","20539","1","","11.22","2018-12-30 23:00:00","53.52065902962977","10.009538581728918"
"175.8","5.5","2232","2013","Alsterdorf","1718","2627116","Hamburg","22337","5","","15.24","2018-01-31 23:00:00","53.61575754291113","10.026318120895063"
"37.2","1.5","504","","Bahrenfeld","-6902","2622328","Hamburg","22761","1","","16.26","2018-07-30 22:00:00","53.5721017589742","9.894372140620531"
"86.4","3.5","934.8","1976","Rahlstedt","9919","2628263","Hamburg","22145","1","2","12.984","2018-08-31 22:00:00","53.62611572589888","10.151985304013161"
"68.4","2.5","1116","2022","Niendorf","-3347","2627432","Hamburg","22459","7","","19.584","2018-11-30 23:00:00","53.618628171704934","9.948723823156282"
"85.176","3.5","1188","1893","Rotherbaum","-846","2621977","Hamburg","20148","7","2","16.74","2018-10-30 22:00:00","53.56894836710065","9.987053784839695"
"94.8","3.5","996","1976","Rahlstedt","9879","2628381","Hamburg","22145","1","1","12.612","2018-12-30 23:00:00","53.62719128728061","10.15137607852944"
"128.4","4.5","1554","1963","Bramfeld","5135","2627393","Hamburg","22177","5","1","14.52","2018-04-30 22:00:00","53.61825870899748","10.078667761360904"
"55.776","2.5","660","","Eimsbüttel","-3830","2622640","Hamburg","20257","1","","14.196","2018-05-30 22:00:00","53.57497472309595","9.941382084400722"
"74.568","3","1036.8","1970","Groß Borstel","-1798","2626231","Hamburg","22453","5","1","16.68","2018-11-30 23:00:00","53.60769597939112","9.972461373468308"
"62.508","2.5","450.06","1954","Wilhelmsburg","-727","2614727","Hamburg","21107","5","","8.64","2018-03-28 23:00:00","53.502903731964466","9.98889138899509"
"123.6","4.5","1752","2015","Alsterdorf","1289","2626873","Hamburg","22297","1","","17.004","2018-09-30 22:00:00","53.61354531858839","10.0197452626654"
"51.6","2","954","1975","St. Pauli","","","Hamburg","20359","7","1","22.188","2018-07-30 22:00:00","",""
"78.984","2.5","1188","2020","Eidelstedt","-5748","2625647","Hamburg","22525","10","1","18.048","2018-11-30 23:00:00","53.60234844794791","9.911972785714823"
"67.2","2.5","1260","2022","Rissen","-14739","2622812","Hamburg","22559","1","1","22.5","2018-07-30 22:00:00","53.57635171409968","9.774413170164063"
"72.12","2.5","1622.7","2022","HafenCity","-321","2619187","Hamburg, HafenCity","20457","7","1","27","2018-11-30 23:00:00","53.54353367984363","9.995090600731237"
"48","1.5","493.272","1955","Harburg","-1221","2609221","Hamburg","21073","5","","12.336","2018-11-30 23:00:00","53.45274183445878","9.981364107227082"
"74.4","3","708","1954","Hamm-Nord","4035","2620527","Hamburg","20535","7","","11.424","2018-07-30 22:00:00","53.55572523655135","10.061728596409525"
"84","2.5","1320","","Ottensen","-5607","2619882","Hamburg","22763","1","","18.852","2018-07-30 22:00:00","53.54983545048146","9.914233885802881"
"107.484","4","1458","1961","Uhlenhorst","1478","2621899","Hamburg-Uhlenhorst","22087","1","","16.272","2018-05-30 22:00:00","53.56823646737708","10.022617256085988"
"64.092","2.5","903.6","1957","Uhlenhorst","1183","2622761","Hamburg","22085","7","","16.92","2018-10-30 22:00:00","53.57608936893417","10.01810619665008"
"61.2","2","514.584","2005","Bramfeld","5306","2625587","Hamburg","22179","7","","10.092","2018-09-30 22:00:00","53.60180649336602","10.081257248271337"
