"living_space","rooms","cold_rent","construction_year","quarter","lambert_poistion_x","lambert_poistion_y","city","postcode","heating_type","number_of_bedrooms","rent_per_square_meter","publish_date","latitude","longitude"
"88.08","3.5","900","1968","Steilshoop","3560","2625539","Hamburg","22309","7","2","12.264","2019-04-30 22:00:00","53.60138377659244","10.05451809445061"
"86.964","3","1128","2022","Rahlstedt","10252","2628199","Hamburg","22145","7","1","15.564","2019-02-28 23:00:00","53.62552647299064","10.157085659075639"
"112.2","3.5","2356.2","2022","HafenCity","-230","2619150","Hamburg, HafenCity","20457","7","2","25.2","2019-02-28 23:00:00","53.54319667342541","9.996482388645637"
"93.6","3.5","948","1973","Eidelstedt","-6630","2627644","Eidelstedt","22523","7","2","12.156","2019-01-31 23:00:00","53.62052850427665","9.898423741956734"
"64.296","2.5","723.336","1964","Horn","6566","2620928","Hamburg","22119","7","","13.5","2019-05-30 22:00:00","53.55935297468785","10.100456810799793"
"144","3.5","1536","1968","Rissen","-15798","2622255","Hamburg","22559","5","2","12.804","2019-03-28 23:00:00","53.57124760418021","9.758232524673993"
"79.2","2.5","910.8","1960","Barmbek-Süd","2771","2623457","Hamburg","22083","6","","13.8","2019-03-28 23:00:00","53.58242346423133","10.04241711815542"
"20.4","1.5","486","","Harburg","-748","2609546","Hamburg","21079","1","","28.584","2019-03-28 23:00:00","53.45570361393621","9.988582655705985"
"41.028","2.5","594.912","1939","Fuhlsbüttel","1587","2628443","Hamburg","22335","7","1","17.4","2019-03-28 23:00:00","53.62784519872216","10.024317970142393"
"58.8","2.5","672","","Sasel","7455","2631233","Hamburg","22393","1","","13.716","2019-04-30 22:00:00","53.6532081166487","10.114300289629588"
"138","4","2388","1889","Uhlenhorst","855","2622486","Hamburg","22085","5","","20.76","2019-05-30 22:00:00","53.57358496168038","10.013085310727226"
"82.8","3","426.372","1984","Harburg","-1350","2609771","Hamburg","21073","1","","6.18","2019-03-28 23:00:00","53.45775228794982","9.979392879653528"
"113.04","4","1073.88","1977","Steilshoop","3563","2626715","Hamburg","22309","5|8","","11.4","2019-06-30 22:00:00","53.61209578256208","10.054577247070705"
"71.16","3.5","1209.72","2023","Eppendorf","-1238","2625450","Hamburg","22529","5","","20.4","2019-02-28 23:00:00","53.60058352557754","9.981041523820625"
"73.2","2.5","822","1998","Bergedorf","14133","2613902","Hamburg","21029","5","","13.476","2019-06-30 22:00:00","53.49520164271828","10.215916044608084"
"48","2.5","682.8","1919","Wandsbek","5228","2623466","Hamburg","22041","5","","17.076","2019-03-28 23:00:00","53.58248703018553","10.080027803260986"
"116.988","4.5","1404","2017","Harburg","-930","2611008","Hamburg","21079","2","3","14.4","2019-04-30 22:00:00","53.46902274054215","9.985800379966106"
"206.4","5.5","1857.6","1908","Rahlstedt","10377","2625629","Hamburg","22143","5","4","10.8","2019-05-30 22:00:00","53.60211451480366","10.158916850294471"
"50.4","2.5","736.38","1954","Blankenese","-11994","2621641","Hamburg","22587","5","","17.532","2019-02-28 23:00:00","53.56575356401256","9.816470613012395"
"63.6","2.5","852","2003","Niendorf","-3038","2627853","Hamburg","22459","5","1","16.08","2019-04-30 22:00:00","53.622464791367975","9.953453679576283"
"64.8","2.5","696","1990","Sülldorf","-13002","2623207","Hamburg","22589","5","","12.888","2019-06-30 22:00:00","53.57999497262896","9.800982407113167"
"66","3","600","1933","Wilstorf","-1019","2607928","Hamburg","21077","10","1","10.908","2019-01-31 23:00:00","53.4409622949766","9.984451319183496"
"44.4","2.5","573.6","","Neustadt","-1068","2619862","Hamburg","20537","1","","15.504","2019-01-31 23:00:00","53.54968163137887","9.983663657492905"
"85.2","3.5","930","1999","Niendorf","-3807","2627759","Hamburg","22459","5","","13.104","2019-01-31 23:00:00","53.62160363703887","9.941672679827697"
"90.54","3.5","560.76","1990","Hummelsbüttel","4225","2631309","Hamburg","22399","5","","7.428","2019-01-31 23:00:00","53.65393575627153","10.06477887923445"
"67.896","2.5","1154.4","1917","Bahrenfeld","-4630","2621607","Hamburg","22761","5","","20.4","2019-03-28 23:00:00","53.565558518587096","9.929153194377905"
"148.896","4.5","1602","2023","Hohenfelde","2001","2621590","Hamburg","21075","1","","12.912","2019-02-28 23:00:00","53.56541998972615","10.030618573921796"
"258","8.5","4311.6","1894","Harvestehude","-1025","2622615","Hamburg","20144","7","","20.052","2019-06-30 22:00:00","53.5747597516385","9.984312515391755"
"102","3.5","1020","","Eißendorf","-2775","2609523","Hamburg","21073","5","2","12","2019-06-30 22:00:00","53.455487399616246","9.957643077877515"
"52.8","2.5","788.4","1930","Eppendorf","-1404","2624934","Hamburg","20251","1","","17.916","2019-05-30 22:00:00","53.59588289109831","9.9785017174531"
"79.2","3.5","1749.6","2016","Hoheluft-West","-1837","2623339","Hamburg","20253","5","1","26.508","2019-06-30 22:00:00","53.58135261904251","9.971880779803522"
"96","2.5","1176","2003","Lokstedt","-2264","2625002","Hamburg","22529","11","","14.7","2019-01-31 23:00:00","53.596499345112434","9.96533277018334"
"82.8","3.5","1020","1977","Billstedt","6744","2619372","Hamburg","22119","7","2","14.784","2019-02-28 23:00:00","53.5451764569947","10.103147123420467"
"66.36","2.5","768","2000","Barmbek-Nord","2655","2625188","Hamburg","22307","7","","13.884","2019-02-28 23:00:00","53.59819181049864","10.040655925827208"
"108","4.5","1680","","St. Georg","1122","2620760","Hamburg","20099","1","1","18.672","2019-04-30 22:00:00","53.55786179677781","10.017165506334884"
"69.3","2.5","852","2023","Bergedorf","13338","2612000","Hamburg","21029","1","","14.748","2019-03-28 23:00:00","53.47789462528217","10.20369099338815"
"109.128","3.5","1392","2023","Bergedorf","13386","2612077","Hamburg","21029","1","","15.312","2019-02-28 23:00:00","53.47859491173505","10.20442725157028"
"53.64","1.5","1421.46","2022","HafenCity","-321","2619187","Hamburg, HafenCity","20457","7","1","31.8","2019-03-28 23:00:00","53.54353367984363","9.995090600731237"
"84","3.5","738","","Wilstorf","-351","2608330","Hamburg","21079","6","","10.548","2019-04-30 22:00:00","53.44462561461515","9.994643732078206"
"132","3.5","1320","1998","Wohldorf-Ohlstedt","9143","2635993","Hamburg","22397","5","2","12","2019-01-31 23:00:00","53.69653640362028","10.14031833660296"
"114.852","4","1200","1984","Hummelsbüttel","3868","2631048","Hamburg","22399","5","3","12.54","2019-03-28 23:00:00","53.651561185121565","10.059302068506671"
"122.4","4","950.844","2007","Heimfeld","-2437","2610899","Hamburg","21075","1","","9.324","2019-02-28 23:00:00","53.468024970425056","9.962791723073124"
"86.28","2.5","1146","2018","Othmarschen","-6365","2620804","Hamburg","22763","7","","15.936","2019-02-28 23:00:00","53.55822584615659","9.90262087710525"
"232.932","3.5","3240","2000","Hoheluft-West","-2355","2622959","Hamburg","20253","5","","16.692","2019-06-30 22:00:00","53.57788910337232","9.963954499222215"
"45.6","1.5","547.2","1964","Niendorf","-3066","2628151","Hamburg","22459","","1","14.4","2019-03-28 23:00:00","53.62517901782772","9.953021798526128"
"70.8","2.5","840","","Altona-Altstadt","-2938","2620512","Hamburg","22767","","1","14.232","2019-03-28 23:00:00","53.55559575898546","9.95505376048127"
"49.2","2.5","480","","Ohlsdorf","3188","2628733","Neumünster","22335","1","","11.712","2019-04-30 22:00:00","53.63047952864962","10.04885337802449"
"66","2.5","636","1980","Wandsbek","5216","2623588","Hamburg","22047","5","","11.568","2019-01-31 23:00:00","53.58359846018596","10.079846117088806"
"58.092","2.5","693.6","1956","Heimfeld","-2742","2610926","Hamburg","21075","6","","14.328","2019-05-30 22:00:00","53.46826947316541","9.958134731903051"
"114.204","4.5","1194","1984","Hummelsbüttel","3861","2631111","Hamburg","22399","5","","12.54","2019-02-28 23:00:00","53.65213506335283","10.059195516823394"
